bbawamarna:Abaci//Titulaturen	66FT2O2Q5VAWNC4YVHOHOEL2R4
bbawgrabinschriften:Eingangsumrahmung//rechtes Türgewände	YOWYXOITSRASZMK2NXMR3QA7AY
bbawgrabinschriften:Eltern des Grabherrn mit Familie//Beischriften	IHSJFWDWBZEZDM52DQ6TRAJC4I
bbawgrabinschriften:Eltern des Grabherrn mit Familie//Opferformel	6LMEEVG27NHWBOYLJVDXR2D5NA
bbawgrabinschriften:Eltern des Grabherrn mit Familie//Personenbeischriften	VRV7GM2WDBAD7P3R46OLUOMPUA
bbawgrabinschriften:Eltern des Grabherrn mit Familie//oberes Bildfeld	QHND3YSBGVF3LAIE3H7PKVDL7A
bbawgrabinschriften:Eltern des Grabherrn mit Familie//unteres Register	TJV5DQSIQRG7JJBGKMWP3OHBCM
bbawgrabinschriften:Fahrt im Papyrusboot (rechts)//Beischrift zu Sohn auf Extrastandfläche	2GWWBO4NHRHO5BRE56YGRFT3II
bbawgrabinschriften:Fahrt im Papyrusboot (rechts)//Beischrift zu Sohn hinter Grabherrn	742YRWTTCNCZ5HKIDWN5F6BBI4
bbawgrabinschriften:Fahrt im Papyrusboot (rechts)//Beischrift zu Sohn vor Grabherrn	YXECQFWKLNGPDP5CQ6336DG2U4
bbawgrabinschriften:Fahrt im Papyrusboot (rechts)//Beischrift zu Tochter	6VB3C4O32FB3BCMLMN5R3WCL2U
bbawgrabinschriften:Fahrt im Papyrusboot (rechts)//Szenenbeischrift	KMHRVGMNTBCQJD2RAW46X3XU34
bbawgrabinschriften:Fahrt im Papyrusboot//Beischrift beim Fischespeeren	26B6MURORNGAZNXSR2SMKMOVGE
bbawgrabinschriften:Fahrt im Papyrusboot//Beischrift des Grabherrn	K2HT4QPMKRC3ZBVTYMCHM7SYO4
bbawgrabinschriften:Fahrt im Papyrusboot//Szenenbeischrift	Y3OWQ35UXRH5VAIOSML67GVGHU
bbawgrabinschriften:Familie des Grabherrn//1. Register v.o.	ABUJCUDCHJEDZAX36G5J7RZGSQ
bbawgrabinschriften:Familie des Grabherrn//2. Register v.o.	FLKTWQY4BNGQRKBT6FEUB6YOKI
bbawgrabinschriften:Familie des Grabherrn//3. Register v.o.	JQGZ3BGQONAA5NT6DWU2YWP7SA
bbawgrabinschriften:Familie des Grabherrn//4. Register v.o.	5VCWE7XGQZDPNNRKMXT5CFWSJY
bbawgrabinschriften:Familie des Grabherrn//Beischrift 1. Sohn	R3HFPCDRZFCRDAV2BXZDDPNTV4
bbawgrabinschriften:Familie des Grabherrn//Beischrift 2. Sohn	AOG4ATZ3LRHJTMJ7FURUZM67SA
bbawgrabinschriften:Familie des Grabherrn//Beischrift Ehefrau	S7SGPRKWJFEF3ENXMWZLHLWOSU
bbawgrabinschriften:Familie des Grabherrn//Beischrift vor Figur des Grabherrn	TORGDQZBY5FEDJS53Z6FFUHZ5A
bbawgrabinschriften:Familie des Grabherrn//Beischrift vor Gesicht des Grabherrn	QI7BX47KEZDILIQBXR5SA76CLA
bbawgrabinschriften:Familie des Grabherrn//Beischrift vor Leib des Grabherrn	FPYJ5VCEZRHCHMJR5244VRQMWI
bbawgrabinschriften:Familie des Grabherrn//Beischrift über Figur des Grabherrn	LT6CFRH7GFF7ZFYHJJTLZUXQ2U
bbawgrabinschriften:Familie des Grabherrn//Beischriften	ABTV4PDAKRCCXE22P7GDPTMSBM
bbawgrabinschriften:Familienmitglieder//[oben:1]	PVN45TWGORDK5PO4RPLLD6FHLU
bbawgrabinschriften:Familienmitglieder//[oben:2]	5E5XQB4MQ5DPTLJKX3FRGD6COU
bbawgrabinschriften:Familienmitglieder//[oben:3]	YETIUMDPWVGU7HXKC62A5CZEUU
bbawgrabinschriften:Familienmitglieder//[oben:4]	VLTBVAKXBZDXZLUSB2IYPIB72E
bbawgrabinschriften:Familienmitglieder//[oben:5]	RJQ2PT3JEJB7NLFUDME3U6HZY4
bbawgrabinschriften:Familienmitglieder//[unten:1]	NEXWKTTDTREPRI5UW7LPDAMYQI
bbawgrabinschriften:Familienmitglieder//[unten:2]	IE2WZYH6YBC3ZAHK4BXTXWGE7E
bbawgrabinschriften:Familienmitglieder//[unten:3]	OQIPYNEXANDX5B5FILUTEAYK3Y
bbawgrabinschriften:Familienmitglieder//[unten:4]	JRH4WRGB5RBMNPQV5XJ45X6HEQ
bbawgrabinschriften:Familienmitglieder//[unten:5]	PSHUHKN3AVARHFB37NC7ID2QME
bbawgrabinschriften:Fangnetz-Herstellung//Beischrift	F3DCKFI4QZEIFJJF6RUAQ6JTUI
bbawgrabinschriften:Fassade (Eingang)//Architrav	7MY5LKMYNVA3BDM4W3DRCKWMRQ
bbawgrabinschriften:Fassade (Nordseite)//Inschrift	USFMXUZULJCARKFWB5P7W3C4GQ
bbawgrabinschriften:Fassade und Eingang//Architrav mit Opferformel	35IRJYXOIVCVTPPCSLLHUOII5Q
bbawgrabinschriften:Fassade und Eingang//Titulatur auf Trommel	KZWRBCWUBBHW5FY43UHTCVBRWM
bbawgrabinschriften:Fassade und Eingang//Titulatur auf rechtem Türpfosten	DQS27ILW7RDXTMS3VQLB72VWUA
bbawgrabinschriften:Fassade und Eingang//biograph. Inschrift links vom Eingang	KXMD3LEUIZGUDBXABONZCDGTKY
bbawgrabinschriften:Fassade//1. Fragment (Signalement)	EOCKBEPOF5B57LLX7I24FWE7ZA
bbawgrabinschriften:Fassade//2. Fragment (Beischrift)	WBN36ECRKFDRTGMRDRKYYBJCIU
bbawgrabinschriften:Fassade//Architravfragment	F4WKVZK7UFG5LPCANWD33DTL44
bbawgrabinschriften:Fassade//Beischrift links vom Eingang	BUP3YJYSCJERDB54BPJXNV7ZOQ
bbawgrabinschriften:Fassade//Beischrift rechts vom Eingang	Z7R4KCNSCBDFPJJ4VHG3FLO6LY
bbawgrabinschriften:Fassade//Beischriften zum Grabherrn	ABC66XOJ3NE5JMPJ3KBYRWRRHY
bbawgrabinschriften:Fassade//Biographie	KFGENDBFO5EXRA46HERPHUI67U
bbawgrabinschriften:Fassade//Eingang G 7140	RS7Q4SXCJBFGRF4SKZPFXMIDNM
bbawgrabinschriften:Fassade//Eingangsbeschriftung	GT6RHZDAGBCL5MP4YAL3QVA4UU
bbawgrabinschriften:Fassade//Nordseite	Y3M7CHT66BACRO4HCHZHVZ5MAU
bbawgrabinschriften:Fassade//Signalement	DBLR2UIBWBDC3ACYCZZH5BEOCU
bbawgrabinschriften:Fassade//Südseite	XHFKKH5LCRBCVIVFFJSF2COMRE
bbawgrabinschriften:Fassade//Türrolle	MJHTP4GWLBESXLUE5AIYDZVDBY
bbawgrabinschriften:Fassade//Türsturz	XBOHJ4AHEVBU7OG6ZUBWXLMRCM
bbawgrabinschriften:Fassade//linkes Gewände	JQGJCQ4ZUBGBRMZTM7SJFO2RGM
bbawgrabinschriften:Fassade//nördl. Türlaibung	LAQNR3KIKFGRLNIEWD72TW3DXM
bbawgrabinschriften:Fassade//nördl. Türwange	Q23ZC5UNTBEPFOWCUKG3HEXK6I
bbawgrabinschriften:Fassade//rechtes Gewände	RQK2QDUZDBFRDBCKPX7IKECFEM
bbawgrabinschriften:Fassade//südl. Türlaibung	W5SYJTYPQJGGVH4VMVCWZNKBDE
bbawgrabinschriften:Fassade//südl. Türwange	WVFPM4N6QZEJXOO3DFWO5T7PDU
bbawgrabinschriften:Fassade//westl. Türlaibung	HQZBHA7LUVHPVKE7FZCYJSVF7Q
bbawgrabinschriften:Fassade//〈Fassade〉	BAZ7NZTEJJAYLK5NLUOOAHIVEA
bbawgrabinschriften:Fassade/Ostwand//1. oberer Sturzbalken	2DL4PS3LHVE7JKTZQYNVXJAOZY
bbawgrabinschriften:Fassade/Ostwand//2. linker Außenpfosten	SN7GTGYVKJGO7JC2ZGYTDO3XIQ
bbawgrabinschriften:Fassade/Ostwand//3. rechter Außenpfosten	RTN4TLRSDBBLJOY7APR2VUK5YY
bbawgrabinschriften:Fassade/Ostwand//4. unterer Sturzbalken	AU5NVVV6S5FKHHWFUG3VZPTK3E
bbawgrabinschriften:Fassade/Ostwand//5. linker Innenpfosten	ANQHIWWWYJD7BJ4MH52PMNXJT4
bbawgrabinschriften:Fassade/Ostwand//6. rechter Innenpfosten	GPTV4DSKI5CWNJ6YEHPPGOWQNA
bbawgrabinschriften:Fassade/Ostwand//7. Rundbalken	Y5U2JPIFKFDJFPLLQTUPXEG7LA
bbawgrabinschriften:Fassade/Ostwand//8. Scheintür-Tafel	3XFJQ6U5IZHE7P4RFSQ4PYRCAU
bbawgrabinschriften:Fassade/Ostwand//Scheintür	RIHOUBWGLRGK7PHUR5GSQJ3MO4
bbawgrabinschriften:Fassade/Ostwand//Scheintür-Laibung	VK553XEQCBHOTN5UHHI3KYBQMA
bbawgrabinschriften:Fassade: Ostwand//Architrav, Nordteil	SJECI6USNFBOXL3BWPQ3HGZXUY
bbawgrabinschriften:Fassade: Ostwand//Architrav, Südteil	NTJWL4YMMFHVVEZDEBXXP5QKBU
bbawgrabinschriften:Fassade: Ostwand//Inschrift Nordecke	TU6VPAQCRBGEDHEIYCCZ5RVLJI
bbawgrabinschriften:Fassade: Ostwand//Inschrift Südecke	6LGYA4EYWVEGTNQ72Z4JPOATVQ
bbawgrabinschriften:Fassade: Südwand//Inschrift Ostecke	7SAVVSVRPFDGJKAU74CD3GSAHQ
bbawgrabinschriften:Fassade: Südwand//Inschrift Westecke	6SF4CH3AHNAPBIWLYGIQI27JT4
bbawgrabinschriften:Fassadenfragment//Anrufung	CKOBZIJOMNFRNKSNTFU4U5DG3I
bbawgrabinschriften:Fassadenfragment//Beischrift	FGYOSRJQU5E5LF2WV3QWVCZPZI
bbawgrabinschriften:Felder neben Tafel//linke Inschrift	3HON5WXWWJD4TEHKN2HFHAJ35I
bbawgrabinschriften:Felder neben Tafel//rechte Inschrift	EZSLR7HVMRHOBKWEVBTDLPNNCU
bbawgrabinschriften:Fest-Szene//Szenenbeischriften	S65M7RB56BD3BEK35D7PTFAR6E
bbawgrabinschriften:Figuren-Seite//Figuren-Beischriften	7WCWCIRBJRFW7ANTVE3ZFI6LBE
bbawgrabinschriften:Fisch-Netz-Szene//2. Register von oben	3CIE6MDAAFFTDBP6JBTODQUCDM
bbawgrabinschriften:Fisch-Netz-Szene//Personen-Beischrift (oberstes Register)	D7ZYV7NWJBDYTFD7XK5P7BCPWY
bbawgrabinschriften:Fisch-Netz-Szene//unterstes Register	HQZMNWEEOZE73IBN6XT6DDEQM4
bbawgrabinschriften:Fisch-Netz-Szene//über Grabherrn	6ZJI3C2CIVBSDI7JN3AUAUBMVI
bbawgrabinschriften:Fisch-Netz-Szene//über oberstem Register	AC7RPDPW7NDKFEZIDUAZGXDE2E
bbawgrabinschriften:Fisch-Speer-Szene//Szenentitel	22MIL72ZWBB6ZCDCY47NFWPUEI
bbawgrabinschriften:Fisch-Speer-Szene//Söhne hinter dem Grabherrn	U7BVXIS4PVCARGRDYG472PQZGU
bbawgrabinschriften:Fisch-Speer-Szene//zwischen den Beinen des Grabherrn	WCE2NYZ7DRGO3CKTVYDHTQ42DM
bbawgrabinschriften:Fisch-Speer-Szene//über Grabherren	RPFRQ3UYZJHGXIF3FJMGV2WU5A
bbawgrabinschriften:Fisch-Speer-Szene//über Grabherrn	YG6EEJSA75ACRMBGHIECXO6DPY
bbawgrabinschriften:Fisch-Speer-Szene//über Sohn vor Grabherrn	LOIAW5QWQVAI3PMO6PIEAZ25KI
bbawgrabinschriften:Fische-Speeren//Personenbeischriften	GXRCUOKESFD2JE3RDIKGZF5SYU
bbawgrabinschriften:Fische-Speeren//hinter Grabherrn (vor Sohn)	ZTTAVVJQTVFC3NGWDCOJFYNTOE
bbawgrabinschriften:Fische-Speeren//vor Sohn am rechten Szenenrand	ROKE3ZQHLBHSPIX3F2ZOJNAJXU
bbawgrabinschriften:Fische-Speeren//über Grabherrn	PDQWEWHRWNCOLH5W47NMLAGUE4
bbawgrabinschriften:Fischespeeren//1. Frau hinter Grabherr	6EOHYWEWPFAQDGBF6BKSJJFZIQ
bbawgrabinschriften:Fischespeeren//1. Mann hinter Grabherr, Beischrift und Rede	VZPZHACEVFCXLNETSK5GFPRQTA
bbawgrabinschriften:Fischespeeren//2. Frau hinter Grabherr	AMI3CPMW5JBO3KYYBOQCVWPGMY
bbawgrabinschriften:Fischespeeren//2. Mann hinter Grabherr, Beischrift	Z4RTEIWA55DYJOQ7CB2L5FIA3A
bbawgrabinschriften:Fischespeeren//3. Frau hinter Grabherr	XSWE7J6G5ZGCHG2QVIRIU65RV4
bbawgrabinschriften:Fischespeeren//Beischrift Ehefrau	QYWXHSGKSFAB3O5PWWASUMKJMU
bbawgrabinschriften:Fischespeeren//Beischrift hinter Grabherr	TGHU2DU465G5FPZJIOFI2SPV3U
bbawgrabinschriften:Fischespeeren//Beischrift vor Grabherr	FDOQJJ52GBFB7PB625UNAURY4Y
bbawgrabinschriften:Fischespeeren//Sohn vor Grabherr, 1. Beischrift	M3GZU3CTYFCCHP43COZSH7B4OY
bbawgrabinschriften:Fischespeeren//Sohn vor Grabherr, 2. Beischrift	O2U553OE4JHMTITRY4BUPP2QXY
bbawgrabinschriften:Fischespeeren//Szenenbeischrift	ZVAV5Y2VQRCEVK3GSCDMEB5DXY
bbawgrabinschriften:Fischfang (östl. Teil)//Fischfang	2GINCVNWYRBEJGVYFCZR4XCUTI
bbawgrabinschriften:Fischfang mit Netz//Szenenbeischrift (mittig)	PDGXMRN7VVALBJPHSMGXF2DCGI
bbawgrabinschriften:Fischfang mit Netz//Szenenbeischrift (rechts)	QXA76NB3AVGSTAM3N2F2NXOKHU
bbawgrabinschriften:Fischfang mit Netz//Szenenbeischriften (links)	5BPUTTLCVNFMXKZZ6YP66KRNLM
bbawgrabinschriften:Fischfang//〈Beischriften〉	K4QBDA25IZC2TEAT4ZRXK5FDYU
bbawgrabinschriften:Fischfang//〈Text〉	D4Q2SOYIGFBT3CPPPY4GMLBMTM
bbawgrabinschriften:Foto MFA B 7953//〈Text〉	AXBAYYV45RBWLEUQWDLLOHUXO4
bbawgrabinschriften:Foto MFA B 7955//〈Text〉	FYB5W5OCHNHY3KEPSWJ5P3L2GQ
bbawgrabinschriften:Fragment (1) der Nordseite von Raum 2//〈Text〉	GFKFXPXF2VFTTPO4HLGE77OESQ
bbawgrabinschriften:Fragment (1)//Szenenbeischriften	WRGAJKFKPBDPFGW7GLCD77RJ3I
bbawgrabinschriften:Fragment (1)//〈Fragment (1)〉	5THWC6ZF35ASBMSNGOTZNZ2JDE
bbawgrabinschriften:Fragment (10)//〈Text〉	Q7JTX2XWZRFSJIDUTTPA24AQ5E
bbawgrabinschriften:Fragment (11)//〈Fragment (11)〉	PSHJE2KGIBESFAP24A7XQUW47E
bbawgrabinschriften:Fragment (11)//〈Text〉	HKMT2HFNTJG5NFSI2J7ZTOWQVA
bbawgrabinschriften:Fragment (2) der Nordseite von Raum 2//〈Text〉	X6I33CKZQVCPRHNRJ6PAVJQJUM
bbawgrabinschriften:Fragment (2)//Name+Titel	3QPCHAEE6JEWZMMSIKGMMVBIPU
bbawgrabinschriften:Fragment (2)//〈Fragment (2)〉	XMSZUQU7ZFBKPN5QHXB7K7A7I4
bbawgrabinschriften:Fragment (3)//Name	7YM6J6RHI5AYFL6QG4US6FIZNM
bbawgrabinschriften:Fragment (3)//〈Fragment (3)〉	YBSS7WA5NRCZHCJFAUXTLOEZBE
bbawgrabinschriften:Fragment (4) der Nordseite von Raum 2//〈Text〉	7AGTOVNSPJGIBN3IL5WOVO7B3E
bbawgrabinschriften:Fragment (4)//〈Fragment (4)〉	CN5H4IXK4REI3N7EUC6NU3Q4ME
bbawgrabinschriften:Fragment (5) der Südseite von Raum 2//〈Text〉	U4O34KZXJFA3ZAE6V5IT4WF3T4
bbawgrabinschriften:Fragment (6)//〈Fragment (6)〉	FKWET6MTPFAAZLVLRAJD3ABKNM
bbawgrabinschriften:Fragment (7)//〈Fragment (7)〉	RHFKQBDQGFAWPAFY5R7QATLV2Q
bbawgrabinschriften:Fragment (9)//〈Text〉	ZULGYX76XZH3LGFVUPG2V2HFDQ
bbawgrabinschriften:Fragment (Einzelstatue)//〈Fragment (Einzelstatue)〉	H4FLXQN5LJAFJHUS5GVMLQUMVM
bbawgrabinschriften:Fragment (Nordseite)//〈Text〉	7NQFS36ZGFA4DPOSH5UZ2YOZXE
bbawgrabinschriften:Fragment (Westseite)//〈Text〉	QRFGOVPO4ZC6JFMSFYBJXA67Z4
bbawgrabinschriften:Fragment (nördliches Gewände)//Beischrift	CIU4T4AP4VAMNLAN3VXYWNEM6E
bbawgrabinschriften:Fragment 1//Inschrift	R72O75DT2ZAW3DFPVKO4QZCFEA
bbawgrabinschriften:Fragment 1//〈TEXT〉	S67SB7D6BZBQXPNQDHNWCS7HH4
bbawgrabinschriften:Fragment 2//Inschrift	CD6J43KB3ZB4XJKD7IGPKQZMNI
bbawgrabinschriften:Fragment 25-12-203//〈Text〉	OG2VP4XS6FEH5CVWJ2ZWJBYOG4
bbawgrabinschriften:Fragment 25-12-211//〈Text〉	GWEFGYYUTRB5TH2I7OT26FX7UQ
bbawgrabinschriften:Fragment 3//Inschrift	KHGWORO7NVGTLNY4WSUID4YUYI
bbawgrabinschriften:Fragment 35-12-40 (G 2196 U)//〈Text〉	KSJSY7QSFVBDFNNJ3D3GJHGBEY
bbawgrabinschriften:Fragment A (Opfergaben-Bringer)//Personenbeischriften	52FZCNHC45BTXDET7G6HOV5LSI
bbawgrabinschriften:Fragment A//Namen+Titel	DE6VLN376FDDTMXHPWKZMZVZ34
bbawgrabinschriften:Fragment A//〈TEXT〉	VYJWQSHXLBHWXLPCXFXPMWXYI4
bbawgrabinschriften:Fragment B//Personenbeischrift	QT2FT6CSYZBUJPKSFSUSUXAS7E
bbawgrabinschriften:Fragment B//〈TEXT〉	7HWLZR3UDRAGFOUBANDVLZYZJE
bbawgrabinschriften:Fragment B7.F1//Inschriftreste	NT27UH6RSVBD7HMCUIKUQKVCKI
bbawgrabinschriften:Fragment C (Opferliste)//Listeneinträge	BZ6ZDU6U2FBJTKFDEXBCNGS4ZI
bbawgrabinschriften:Fragment C//Personenbeischrift	AUD22IN4FRA27BG2XLERAQ7ECY
bbawgrabinschriften:Fragment TNE98:F26//〈TEXT〉	DQ4U4Q56BJDSFJZ3RW2J2WQC6Q
bbawgrabinschriften:Fragment TNE98:F27//〈TEXT〉	KUDU2BTSYNA3PHLWLAUABEPXJU
bbawgrabinschriften:Fragment TNE98:F4//〈TEXT〉	UI3NBIFCDNFPHAEJPYWF2SAHJM
bbawgrabinschriften:Fragment der Westwand//〈Text〉	XFIROGKCX5CLBCE6HVITUGJKLM
bbawgrabinschriften:Fragment einer Alabaster-Opfertafel//〈Text〉	L4DUN2SDYRA2XB3T25TSJJ2ONY
bbawgrabinschriften:Fragment einer Dreier-Statuengruppe//〈Fragment einer Dreier-Statuengruppe〉	74LHNLYQPZBFNAJMEXVZYRAFTA
bbawgrabinschriften:Fragment einer Kalksteinplatte (A)//Inschrift	FGDHCY2IKVG4RIDSMGWXLFHCO4
bbawgrabinschriften:Fragment einer Kalksteinplatte (B)//Inschrift	ERLTUQDC7ZFBBKJSPDD7DXJUVU
bbawgrabinschriften:Fragment einer Kalksteinplatte (C)//Inschrift	E6XUB6KSTBDTZLTCGGHUKX25YU
bbawgrabinschriften:Fragment einer Kalksteinplatte (D)//Inschrift	5IU3IVWIZFHUXHKUQNLGAH3CDU
bbawgrabinschriften:Fragment einer Kalksteinplatte (E)//Inschrift	BTQRDUYENBDHPK6OWK44S3GVXI
bbawgrabinschriften:Fragment einer Kalksteinplatte (F)//Inschrift	2U33BFKH5VDSRN6EIXAOK36YKM
bbawgrabinschriften:Fragment einer Kalksteinplatte (G)//Inschrift	YOACU5GQQNCB3ISJET2ZEDQEXQ
bbawgrabinschriften:Fragment einer Kalksteinplatte (H)//Inschrift	VQ3MTHBZCJE77BVV3FEBPSJKUA
bbawgrabinschriften:Fragment einer Kalksteinplatte (I)//Inschrift	HJBJNDDX4VCKPAFCOM6FUJMVYY
bbawgrabinschriften:Fragment einer Kalksteinplatte (K)//Inschrift	R5RV2K2YSZCZ5OF7Y6NGU5K4PI
bbawgrabinschriften:Fragment einer Kalksteinplatte (L)//Inschrift	YLQCYFDZKVER5NQH4XOY4RLLME
bbawgrabinschriften:Fragment einer Kalksteinplatte (M)//Inschrift	FNAHSTGQRBHCLDW6ZKP6RWDX3Q
bbawgrabinschriften:Fragment einer Kalksteinplatte (N)//Inschrift	P3I2H2EF5NFOTNS3AJXZFYHEWM
bbawgrabinschriften:Fragment einer Sitzstatue//Inschrift	XZKVRWVMTVBAFIERJEFHSMQKCA
bbawgrabinschriften:Fragment einer Sitzstatue//〈Text〉	TUVDENEZCRDO5DN6UUFSWQ7LZU
bbawgrabinschriften:Fragment einer Statuenbasis//〈Fragment einer Statuenbasis〉	6GLKV5Z6YND4ZG3KEMBTNLEZSI
bbawgrabinschriften:Fragment einer Statuenbasis//〈Text〉	6B7K46XRNJAMTJGNF3KD3F7DEI
bbawgrabinschriften:Fragment eines Alabastergefäßes//〈Text〉	IT7FXEN3LJHNPLENSMI7RZIKXQ
bbawgrabinschriften:Fragment eines Diorit-Steines//〈Text〉	HCWODDBGY5B5BMKPGQIDHQTWIA
bbawgrabinschriften:Fragment eines Opferbeckens//Teil einer Inschrift	GVHGKNWV4NCZRENRGWAXNPU6IU
bbawgrabinschriften:Fragment eines Wandecksteines//Inschrift	ILZG5X5GKFFZ7EQBUIF552F67I
bbawgrabinschriften:Fragment mit Dorfschulzen//Funktions-Beischrift	2RIRWVGR65HF5GUEMLSQFZ4DZU
bbawgrabinschriften:Fragment mit Namensinschrift//〈Text〉	7EIDMYGDJRH2FADVJW4ITQ4A34
bbawgrabinschriften:Fragment mit Vertikal-Inschrift//〈Text〉	ZUE3BEO3QVCXHP7BD4UHPNDWRU
bbawgrabinschriften:Fragment//Personenbeischrift	STQYPNWY6ZAYXKEJSB4WEJJX2E
bbawgrabinschriften:Fragment//〈Inschrift〉	PRMX6CDMCZCS3PAWUO2FGZX4WY
bbawgrabinschriften:Fragment//〈TEXT〉	2P4A7GIRSREFPNMFLRZGWUZAM4
bbawgrabinschriften:Fragment//〈Text〉	C3HWOQTTGBES5DKFEV6Z4Y4URM
bbawgrabinschriften:Fragmente A-F//Fragment B (Domänenaufzug)	MUUH2DDS6JCYJPFL7W7IZHGKOU
bbawgrabinschriften:Fragmente A-F//Fragment C (Domänenaufzug)	CW7BRMVLAZESFLFDPQC4EBNWMU
bbawgrabinschriften:Fragmente A-F//Fragment D (Domänenaufzug)	T22DIHGBIZEMHOVF2BICV2DT3A
bbawgrabinschriften:Fragmente A-F//Fragment F (Domänenaufzug)	RKB44K6P5RHVLID6DTM3TYTSOU
bbawgrabinschriften:Fragmente A-F//〈Texte〉	QSCI644CKVCERNTL4EOZIBML6Q
bbawgrabinschriften:Fragmente TNE98:F2+F3//〈TEXT〉	UWI5LIPJFRBOVKEI76WHRL6WR4
bbawgrabinschriften:Fragmente der Südwand//Opferlisten-Fragmente	OOSLK5SZJBHL5L2BOPN6QORYOI
bbawgrabinschriften:Fragmente der rechten Laibung des Durchgangs an der Südwand//Fragment Fig. 129	ABRKAMEV3NEOZALY6VTGYPXD5Y
bbawgrabinschriften:Fragmente der rechten Laibung des Durchgangs an der Südwand//Fragment Fig. 130	I5UVMNCZBNACDEHELGM4IGKG7Y
bbawgrabinschriften:Fragmente der rechten Laibung des Durchgangs an der Südwand//Fragment Fig. 131	6V2WILVL2VAYRNJLTNBSDJ2C6Q
bbawgrabinschriften:Fragmente der rechten Laibung des Durchgangs an der Südwand//Fragment Fig. 132	O53MCBVSSZH27K72JQOIFLLOIY
bbawgrabinschriften:Fragmente der rechten Laibung des Durchgangs an der Südwand//Fragment Fig. 133	BCL7G7SG7VC67J66ZMAAKXFSLQ
bbawgrabinschriften:Fragmente der rechten Laibung des Durchgangs an der Südwand//〈Text〉	VRGM2FTYJBAJBMA2DLWM7IM3TQ
bbawgrabinschriften:Fragmente einer Opferliste//Opferliste	S4ODB7TYLVFCBI3O3VNVFQMULM
bbawgrabinschriften:Fragmente//Block Kh/1	WPNUEQNDI5F2NAOYQAJMJGEEOY
bbawgrabinschriften:Fragmente//Block Kh/10	C5L4WRWGIZHDROCRLAXTGG3LCI
bbawgrabinschriften:Fragmente//Block Kh/13	TWO4QG75IVERDGIOWFKFR54WB4
bbawgrabinschriften:Fragmente//Block Kh/14	L2Y7JTWIJFGHZEGHIZPXURVPXA
bbawgrabinschriften:Fragmente//Block Kh/15	4L3KAHBVXZBTNCTYFC3ASYILJU
bbawgrabinschriften:Fragmente//Block Kh/16	5J4E3S3NDNHRJNFMEBQJZXILGA
bbawgrabinschriften:Fragmente//Block Kh/17	VHJKJ75KLZAFJAR3DGSPNLF7E4
bbawgrabinschriften:Fragmente//Block Kh/2	Q6SSYY3OCFABDOTEUDGO45FGZ4
bbawgrabinschriften:Fragmente//Block Kh/20	AX5OZQGDPNAJ7HKZLFVQANM6IU
bbawgrabinschriften:Fragmente//Block Kh/6	AYRCWCRRI5BZ5NIAZKN23PNGSE
bbawgrabinschriften:Fragmente//Block Kh/9	HZESLIXLLFE3HKD5PPY4PQUOAM
bbawgrabinschriften:Fragmente//TNE95:F146	VYKB5YMKEVG2TK4DHOGHJ7M3MQ
bbawgrabinschriften:Fragmente//TNE95:F148	IGZEH6TJCVH43IJ44DGAINI4NA
bbawgrabinschriften:Fragmente//TNE95:F149	DQT6CU37YNFNJNL6PIDWFYR46Y
bbawgrabinschriften:Fragmente//TNE95:F150	U2LHSGPN4VBQVK4BCR42IBKK7Y
bbawgrabinschriften:Fragmente//〈Texte〉	IYB45KKCXZHDTBQR6PI3N2FGXQ
bbawgrabinschriften:Fragmentierte Reliefbruchstücke//Fragment Fig. 147	2QB66LFWSZBD3DDS7CKTL3F5OA
bbawgrabinschriften:Fragmentierte Reliefbruchstücke//Fragment Fig. 149	WWMFFSTBXFD2RJLDVJKDLWAMB4
bbawgrabinschriften:Fragmentierte Reliefbruchstücke//Fragment Fig. 150	XQ5FHW4GMNG55HPV43TDZAFBBE
bbawgrabinschriften:Fragmentierte Reliefbruchstücke//Fragment Fig. 151	PILITYM6CBFJLEK7DB7JR7X6ZA
bbawgrabinschriften:Fragmentierte Reliefbruchstücke//Fragment Fig. 153	RUP7QEGZL5CJHFELCK55PH4ZJM
bbawgrabinschriften:Fragmentierte Reliefbruchstücke//Fragment Fig. 155	WBCHSFO7RRHNJM6FCFSN26JKRY
bbawgrabinschriften:Fragmentierte Reliefbruchstücke//Fragment Fig. 156	YM7D2LHEAZEYVNSVI6QXVXRIO4
bbawgrabinschriften:Fragmentierte Reliefbruchstücke//Fragment Fig. 158	23TQV5T4GVDZPBKA7T4U3EFVOA
bbawgrabinschriften:Fragmentierte Reliefbruchstücke//〈Inschriften-Teile〉	VYNZ7MGIV5HATNLIC3BEZNK42E
bbawgrabinschriften:Fries-Bruchstücke//〈Text〉	XZGNAD7MMJCFRLUM6GWVDFW72Q
bbawgrabinschriften:Fries-Fragment//〈TEXT〉	RWLVWZQSDFE5RMHA26SKCBJME4
bbawgrabinschriften:Fries-Inschrift//〈Text〉	XOOQT6G7RZDUZNCBRLMJAVOX4Y
bbawgrabinschriften:Fries//Fragmente LD II 78 d	NHFIA6YX6FF2NKR2NJCMLM2QUQ
bbawgrabinschriften:Fries//Fragmente zu A	NB353O75ERA4HGON26FWPBLE3A
bbawgrabinschriften:Fries//Fragmente zu B	WVWE77BQL5BKXJP5CXDG475LJM
bbawgrabinschriften:Fries//Inschrift	TJ3MCK6FGFB5PEUNQTD2QE4WS4
